ppt_id,condition,p_correct,hn_enc,dwell_obj1_enc,dwell_table_enc,dwell_other_enc,t_first_array_enc,t_first_obj1_enc,hn_ret,dwell_obj1_ret,dwell_table_ret,dwell_other_ret,t_first_array_ret,t_first_obj1_ret,hn_diff,dwell_total_diff,dwell_obj1_diff,dwell_table_diff,dwell_other_diff,t_first_array_diff,t_first_obj1_diff,pupil_diam_centre_diff,pupil_diam_spread_diff,group,dwell_MO-SOs_ret,4MT
alloeye_15,StayRotate,0.6666666666666666,0.5220315058585547,0.2189206349206349,0.06825396825396825,0.037047619047619045,472.1111111111111,929.4444444444443,0.7083699479339062,0.27268253968253964,0.18715873015873016,0.04973015873015873,229.44444444444449,1728.3333333333333,0.1863384420753513,0.032492063492063496,0.05376190476190476,0.11890476190476192,0.012682539682539682,-242.66666666666663,798.8888888888889,0.2205896388888887,-0.0631690694444445,Y,-0.22784126984126987,1404.2864173268083
alloeye_15,WalkRotate,0.8888888888888888,0.4782732176141941,0.2307142857142857,0.12206349206349207,0.03463492063492064,317.55555555555554,1851.3333333333333,0.7048950257232796,0.18195238095238098,0.2525079365079365,0.0286984126984127,90.88888888888889,1747.888888888889,0.2266218081090853,-0.021634920634920635,-0.048761904761904756,0.13044444444444445,-0.005936507936507937,-226.66666666666663,-103.44444444444444,0.261474833333333,-0.0099175138888889,Y,-0.30690476190476185,2171.811517449686
alloeye_15,TeleportRotate,1.0,0.4525893507822801,0.20112698412698413,0.14706349206349206,0.03344444444444444,317.44444444444446,1103.625,0.7236779322003569,0.18722222222222223,0.25007936507936507,0.023142857142857142,187.0,909.25,0.2710885814180768,-0.0010634920634920635,-0.013904761904761902,0.10301587301587302,-0.010301587301587301,-130.44444444444446,-194.375,0.2315304722222223,-0.0574923333333335,Y,-0.3205079365079365,1424.0877910925064
alloeye_31,StayStay,1.0,0.4980659053410432,0.16573015873015873,0.22873015873015873,0.15847619047619046,681.4444444444445,1923.375,0.2247821820280536,0.3441269841269841,0.13347619047619047,0.231,620.1111111111111,1738.0,-0.2732837233129896,-0.028142857142857143,0.17839682539682541,-0.09525396825396826,0.07252380952380953,-61.333333333333336,121.28571428571428,0.0267053333333335,-0.0095767083333332,Y,0.1167936507936508,2607.8038322143534
alloeye_31,WalkStay,0.8888888888888888,0.3698971660097465,0.17480952380952383,0.1960793650793651,0.1448095238095238,846.1111111111111,1796.375,0.3676872034925453,0.23276190476190475,0.3356349206349206,0.13474603174603175,560.0,1133.0,-0.0022099625172011,-0.11592063492063492,0.05795238095238096,0.13955555555555554,-0.010063492063492063,-286.1111111111111,-454.0,0.1518520555555557,0.0191165277777776,Y,0.06242857142857143,2645.3314256393437
alloeye_31,TeleportStay,0.7777777777777778,0.5331089437554173,0.15641269841269842,0.26834920634920634,0.24809523809523812,514.6666666666666,1832.875,0.380789305719569,0.203015873015873,0.4174126984126984,0.0709047619047619,552.6666666666666,2167.0,-0.1523196380358482,0.022873015873015875,0.046603174603174605,0.14906349206349204,-0.17719047619047618,38.0,334.125,0.148354972222222,-0.1938929444444445,Y,-0.08223809523809525,2350.59753317011
alloeye_31,StayRotate,1.0,0.5347973509038882,0.20912698412698413,0.27946031746031746,0.10634920634920635,548.8888888888889,1946.375,0.3066478306578437,0.3276031746031746,0.39298412698412694,0.13273015873015875,807.1111111111111,2511.75,-0.2281495202460445,0.021396825396825397,0.11847619047619048,0.11352380952380951,0.026380952380952376,258.22222222222223,565.375,0.0034087222222221,-0.0310792638888887,Y,0.16846031746031745,2498.5535880387047
alloeye_31,WalkRotate,0.8888888888888888,0.3860839433045251,0.18141269841269841,0.1291904761904762,0.19703174603174603,669.1111111111111,1960.0,0.3393416584500112,0.16190476190476188,0.3274126984126984,0.22398412698412698,526.5555555555555,1761.5,-0.0467422848545139,0.035873015873015876,-0.019507936507936505,0.19822222222222224,0.026952380952380946,-142.55555555555554,-1409.0,0.1156955277777776,0.0154661805555552,Y,-0.08422222222222224,2631.946362109691
alloeye_31,TeleportRotate,0.7777777777777778,0.5079964129446584,0.10234920634920636,0.2960952380952381,0.18415873015873016,628.6666666666666,2781.333333333333,0.3941824761797774,0.3782063492063492,0.32469841269841265,0.11874603174603174,488.6666666666667,1968.5,-0.1138139367648809,0.08804761904761906,0.27585714285714286,0.028603174603174603,-0.06541269841269842,-140.0,-914.4,0.1073740833333333,-0.0786057916666665,Y,0.149031746031746,3413.0842106351556
alloeye_37,StayStay,0.8888888888888888,0.4845212468061394,0.14373015873015874,0.2132063492063492,0.05633333333333333,498.8888888888889,1936.125,0.6522235022827042,0.11793650793650794,0.39596825396825397,0.08898412698412698,313.0,1863.0,0.1677022554765647,0.1583968253968254,-0.025793650793650796,0.18276190476190476,0.03265079365079365,-185.88888888888889,-73.125,0.1364127222222223,-0.0401767916666666,O,-0.24546031746031746,2438.0556812570253
alloeye_37,WalkStay,0.7777777777777778,0.6852782653423523,0.15871428571428572,0.2146825396825397,0.039269841269841274,221.22222222222223,1304.2222222222222,0.663443627063726,0.1590793650793651,0.3322380952380952,0.07365079365079365,228.66666666666663,1667.111111111111,-0.0218346382786263,0.028444444444444446,0.0003650793650793651,0.11755555555555557,0.03438095238095237,7.444444444444445,362.8888888888889,0.0863453333333332,-0.0223388888888888,O,-0.2247301587301587,1528.5485790352634
alloeye_37,TeleportStay,0.4444444444444444,0.6436089679681651,0.18209523809523812,0.2657777777777778,0.046396825396825395,391.6666666666667,1581.0,0.6493660887952694,0.1263015873015873,0.40138095238095234,0.049317460317460315,281.55555555555554,1515.2222222222222,0.0057571208271042,0.02558730158730159,-0.05579365079365079,0.1356031746031746,0.0029206349206349204,-110.11111111111111,-65.77777777777777,0.0999395277777776,-0.0160048055555555,O,-0.25295238095238093,1975.4753560091444
alloeye_37,StayRotate,0.7777777777777778,0.605914695183695,0.10873015873015873,0.21336507936507937,0.03692063492063492,187.22222222222223,1866.2857142857144,0.8264704823279058,0.15817460317460316,0.3618571428571429,0.07155555555555555,339.8888888888889,1197.75,0.2205557871442107,0.03763492063492064,0.049444444444444444,0.14849206349206348,0.03463492063492064,152.66666666666666,-589.1428571428571,0.1713261111111112,-0.001898875,O,-0.22244444444444442,2056.6687026378295
alloeye_37,WalkRotate,0.5555555555555556,0.6848173059092642,0.13269841269841268,0.18819047619047619,0.044015873015873015,306.22222222222223,2167.125,0.7142958703591292,0.1424126984126984,0.3595873015873017,0.03425396825396825,139.77777777777777,1289.375,0.0294785644498651,0.03126984126984127,0.009714285714285713,0.1713968253968254,-0.009761904761904762,-166.44444444444446,-877.75,0.1120209999999999,-0.025315,O,-0.30668253968253967,2476.2030496842044
alloeye_37,TeleportRotate,0.7777777777777778,0.6108236498427416,0.19122222222222224,0.15903174603174602,0.036619047619047614,333.22222222222223,1517.0,0.7887706992143434,0.11515873015873015,0.2778730158730159,0.05326984126984127,203.55555555555557,1867.0,0.1779470493716018,0.01973015873015873,-0.07606349206349207,0.11884126984126984,0.016650793650793652,-129.66666666666666,350.0,0.1104736388888887,-0.0054973055555554,O,-0.40598412698412695,1853.2327689522317
alloeye_41,StayStay,1.0,0.5042265108774817,0.233,0.05855555555555556,0.03187301587301587,457.44444444444446,1988.4444444444443,0.4816098881494946,0.3234920634920635,0.1726349206349206,0.1006031746031746,165.66666666666666,2040.4444444444443,-0.022616622727987,0.06795238095238096,0.0904920634920635,0.11407936507936507,0.06873015873015872,-291.77777777777777,52.0,0.1926507222222221,0.0205359444444445,Y,-0.03407936507936508,2448.7948840180748
alloeye_41,WalkStay,0.7777777777777778,0.4393308852011556,0.23234920634920633,0.10271428571428572,0.05222222222222222,539.0,1319.3333333333333,0.6419564219994256,0.21912698412698414,0.20815873015873015,0.03744444444444444,303.6666666666667,1217.3333333333333,0.20262553679827,0.09952380952380951,-0.013222222222222222,0.10544444444444444,-0.014777777777777777,-235.33333333333331,-102.0,0.1958619444444445,-0.0560653749999999,Y,-0.27704761904761904,1861.044414291327
alloeye_41,TeleportStay,0.6666666666666666,0.5566322351297756,0.10528571428571429,0.2383015873015873,0.03784126984126984,332.55555555555554,2595.5,0.6029020739921149,0.16452380952380954,0.29307936507936516,0.05122222222222222,449.1111111111111,1334.428571428571,0.0462698388623393,0.028920634920634927,0.05923809523809524,0.05477777777777778,0.013380952380952384,116.55555555555556,-1459.2857142857142,0.2835044166666665,0.0134145972222221,Y,-0.2921587301587302,2930.772010499598
